Thread ID: 13216 | Owner PID: 4
Thread ID: 14596 | Owner PID: 4
Thread ID: 5496 | Owner PID: 4
Thread ID: 14504 | Owner PID: 4
Thread ID: 14532 | Owner PID: 4
Thread ID: 10440 | Owner PID: 4
Thread ID: 1360 | Owner PID: 4
Thread ID: 560 | Owner PID: 4
Thread ID: 11476 | Owner PID: 4
Thread ID: 13760 | Owner PID: 4
Thread ID: 5464 | Owner PID: 4
Thread ID: 3760 | Owner PID: 4
Thread ID: 4484 | Owner PID: 4
Thread ID: 11788 | Owner PID: 4
Thread ID: 2148 | Owner PID: 4
Thread ID: 3712 | Owner PID: 4
Thread ID: 12920 | Owner PID: 4
Thread ID: 116 | Owner PID: 112
Thread ID: 544 | Owner PID: 112
Thread ID: 548 | Owner PID: 112
Thread ID: 552 | Owner PID: 112
Thread ID: 428 | Owner PID: 424
Thread ID: 440 | Owner PID: 424
Thread ID: 648 | Owner PID: 632
Thread ID: 684 | Owner PID: 632
Thread ID: 692 | Owner PID: 632
Thread ID: 696 | Owner PID: 632
Thread ID: 700 | Owner PID: 632
Thread ID: 784 | Owner PID: 632
Thread ID: 800 | Owner PID: 632
Thread ID: 804 | Owner PID: 632
Thread ID: 556 | Owner PID: 632
Thread ID: 1032 | Owner PID: 632
Thread ID: 716 | Owner PID: 712
Thread ID: 880 | Owner PID: 712
Thread ID: 736 | Owner PID: 720
Thread ID: 764 | Owner PID: 720
Thread ID: 772 | Owner PID: 720
Thread ID: 776 | Owner PID: 720
Thread ID: 780 | Owner PID: 720
Thread ID: 832 | Owner PID: 720
Thread ID: 844 | Owner PID: 720
Thread ID: 848 | Owner PID: 720
Thread ID: 1132 | Owner PID: 720
Thread ID: 1184 | Owner PID: 720
Thread ID: 1188 | Owner PID: 720
Thread ID: 5648 | Owner PID: 720
Thread ID: 11152 | Owner PID: 720
Thread ID: 2384 | Owner PID: 720
Thread ID: 13028 | Owner PID: 720
Thread ID: 812 | Owner PID: 808
Thread ID: 1160 | Owner PID: 808
Thread ID: 3052 | Owner PID: 808
Thread ID: 976 | Owner PID: 856
Thread ID: 920 | Owner PID: 856
Thread ID: 3136 | Owner PID: 856
Thread ID: 6868 | Owner PID: 856
Thread ID: 13416 | Owner PID: 856
Thread ID: 7476 | Owner PID: 856
Thread ID: 12812 | Owner PID: 856
Thread ID: 11596 | Owner PID: 856
Thread ID: 900 | Owner PID: 884
Thread ID: 912 | Owner PID: 884
Thread ID: 916 | Owner PID: 884
Thread ID: 924 | Owner PID: 884
Thread ID: 928 | Owner PID: 884
Thread ID: 6504 | Owner PID: 884
Thread ID: 10280 | Owner PID: 884
Thread ID: 9856 | Owner PID: 884
Thread ID: 10316 | Owner PID: 884
Thread ID: 1016 | Owner PID: 1012
Thread ID: 1044 | Owner PID: 1012
Thread ID: 1144 | Owner PID: 1012
Thread ID: 5016 | Owner PID: 1012
Thread ID: 3048 | Owner PID: 1012
Thread ID: 8752 | Owner PID: 1012
Thread ID: 13256 | Owner PID: 1012
Thread ID: 6844 | Owner PID: 1012
Thread ID: 6460 | Owner PID: 1012
Thread ID: 10680 | Owner PID: 1012
Thread ID: 11040 | Owner PID: 1012
Thread ID: 5268 | Owner PID: 1012
Thread ID: 12600 | Owner PID: 1012
Thread ID: 14556 | Owner PID: 1012
Thread ID: 136 | Owner PID: 1012
Thread ID: 14704 | Owner PID: 1012
Thread ID: 15120 | Owner PID: 1012
Thread ID: 484 | Owner PID: 480
Thread ID: 596 | Owner PID: 480
Thread ID: 600 | Owner PID: 480
Thread ID: 636 | Owner PID: 480
Thread ID: 708 | Owner PID: 480
Thread ID: 816 | Owner PID: 480
Thread ID: 1088 | Owner PID: 480
Thread ID: 1092 | Owner PID: 480
Thread ID: 472 | Owner PID: 516
Thread ID: 604 | Owner PID: 516
Thread ID: 532 | Owner PID: 516
Thread ID: 584 | Owner PID: 516
Thread ID: 580 | Owner PID: 516
Thread ID: 460 | Owner PID: 468
Thread ID: 8 | Owner PID: 468
Thread ID: 520 | Owner PID: 468
Thread ID: 936 | Owner PID: 468
Thread ID: 536 | Owner PID: 468
Thread ID: 1028 | Owner PID: 852
Thread ID: 1052 | Owner PID: 852
Thread ID: 1064 | Owner PID: 852
Thread ID: 2912 | Owner PID: 852
Thread ID: 4196 | Owner PID: 852
Thread ID: 2212 | Owner PID: 852
Thread ID: 14300 | Owner PID: 852
Thread ID: 6620 | Owner PID: 852
Thread ID: 8372 | Owner PID: 852
Thread ID: 14348 | Owner PID: 852
Thread ID: 14132 | Owner PID: 852
Thread ID: 15260 | Owner PID: 852
Thread ID: 1084 | Owner PID: 1080
Thread ID: 1124 | Owner PID: 1080
Thread ID: 7900 | Owner PID: 1080
Thread ID: 14588 | Owner PID: 1080
Thread ID: 4216 | Owner PID: 1080
Thread ID: 1172 | Owner PID: 1168
